filename,caption
00401.JPG,"a small concrete wall repaired is cracked again, with the area of crack is marked with white chalk in rectangular shape"
00402.JPG,a image of a concrete wall with visible crack horizontally on the bottom of the image
00403.JPG,"a concrete wall with area of efflorescence and water erosion, with white chalk marked vertically on the concrete wall"
00404.JPG,a small area of efflorescence and crack on the concrete wall with multi cables run horizontally on the concrete wall
00405.JPG,"a concrete wall with prominent dark streaks and rough patches. horizontal cables run along the upper section, with a brackets horizontal across the image. a brackets horizontal across the wall, with white nameplates and the bottom of the image"
00406.JPG,"a concrete wall with yellow chalk marked by rectangular shape nameplate, a pipe horizontal run across the image, the concrete wall surface falling off and damage at the bottom of the image"
00407.JPG,"a concrete wall with large area of efflorescence and large vertical cracks repaired running from top to bottom, next to the repaired patches there is visible cracks on the concrete wall"
00408.JPG,"concrete wall with yellow chalk marking damage area. horizontal cables run horizontally, with words describe the damage size and type around the rectangular, with visible crack of the wall surface. a cable pipe vertical pipe vertical run across the image"
00409.JPG,"concrete wall with yellow chalk marking damage area. horizontal cables run horizontally, secured by metal brackets, a brackets with words describe the damage size and type on the wall. a metal bracket"
00410.JPG,a small area of efflorescence and crack on the concrete wall with multi cables run horizontally on the concrete wall
00411.JPG,"a concrete wall with large area of efflorescence and water erosion, with exposed rebar on the upper left of the image, with white chalk marked damage position on the concrete wall"
00412.JPG,"a concrete wall with water erosion and efflorescence, with a blue and yellow chalk drawing along the cracks, with cables running horizontally on the concrete wall, with a blue pipe on the top of the image"
00413.JPG,"a concrete wall with large area of efflorescence and water stains, with a metal pipe vertical run across the image, with bundle of 90 - degree - elbow pipe on the concrete wall, left of the image visible the concrete wall"
00414.JPG,"concrete wall with a rectangular outline and chalk markings indicating specific damage area. horizontal cables are visible above the chalk outline, with brackets horizontal across the image"
00415.JPG,"a dimly lit tunnel scene, showing metal pipe on the left upper side receding into the distance along the track. on the concrete wall surface rough texture and visible rough texture. on the concrete wall"
00416.JPG,"a concrete wall with visible cracks and rough texture, with the concrete wall surface falling off"
00417.JPG,an image of a concrete wall with rough patches with a cable running horizontally across the concrete wall
00418.JPG,"a concrete wall with water stains and efflorescence from the top through bottom, with a blue pipe on the center of the image, with a pipe coming down from the ceiling"
